,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,596069.6200000001,1921241.6099999999,456948.27999999997,4165500.88,2107919.3600000003
Q2,519487.12,3093722.76,1006164.54,1847452.82,5014291.68
Q3,2621452.66,2073349.8900000001,1532523.7000000002,149352.74000000002,7204987.029999999
Q4,698335.03,1273219.8499999999,2031968.1500000001,56912.98,9425743.29
total,4435344.430000001,8361534.109999999,5027604.670000001,6219219.420000001,23752941.36
