,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,42728.89,639822.2100000001,228647.79,9308.03,3531192.9999999995
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,42728.89,639822.2100000001,228647.79,9308.03,3531192.9999999995
