,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,596069.6200000001,1921241.6099999999,456948.27999999997,4165500.88,2107919.36
Q2,519487.12,3093722.76,1006164.54,1847452.82,5014291.68
Q3,2621452.66,2073349.89,1532523.7000000002,149352.74000000002,7204987.030000001
Q4,698335.03,1300395.73,2032550.7800000005,56912.98,9653155.75
total,4435344.430000001,8388709.989999998,5028187.300000001,6219219.420000001,23980353.82
