,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,5892.33,68944.11000000002,78922.45,475.21,395410.9199999999
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,5892.33,68944.11000000002,78922.45,475.21,395410.9199999999
